Año,Provincia,URE N°,Trimestre,ID PLAN,ID POA,Fecha de monitoreo en campo,Estado,Alcanzado por SAT?,Tecnico/s que fueron al campo,IF,Observaciones relevantes para una devolución al ALA,Cargado IF en SIIF,Subido IF a carpeta compartida Bosques,Otro espacio de guardado
2025,Santiago del Estero,2,2,684-20-2014,,2025-06-30,Finalizado,NO,Walter Cassino- Abel Gómez,IF-2025-77030222-APN-DBN%JGM,,NO,SI,
2025,Santiago del Estero,2,2,EX-2024-00819707- -GDESDE-DB#MPR,,2025-06-30,Finalizado,NO,Walter Cassino- Abel Gómez,IF-2025-77030540-APN-DBN#JGM,,NO,SI,
2025,Formosa,2,3,A-0042- 2023,,2025-08-10,Finalizado,NO,Carla Antonella Vega,IF-2025-129750695-APN-DBN#JGM,,NO,SI,
2025,Formosa,2,3,C-0080-2022,,2025-08-11,Finalizado,SI,Carla Antonella Vega,IF-2025-129746102-APN-DBN#JGM,,NO,SI,
2025,Formosa,2,3,C-0081-2022,,2025-08-12,Finalizado,NO,Carla Antonella Vega,IF-2025-129752500-APN-DBN#JGM,,NO,SI,
2025,Formosa,2,3,H-2206- 2024,,2025-08-12,Finalizado,NO,Carla Antonella Vega,IF-2025-129962341-APN-DBN#JGM,,NO,SI,
2025,Formosa,2,3,H-2207-2024,,2025-08-13,Finalizado,NO,Carla Antonella Vega,IF-2025-129942730-APN-DBN#JGM,,NO,SI,
2025,Jujuy,1,3,PM-1102-208-V/2019,,2025-09-03,Finalizado,NO,Federico Mohr-Juan Pablo Martinez,IF-2025-105311677-APN-DBN%JGM,Se utilizó kobo collect y vuelos de dron como apoyo técnico,SI,SI,
2025,Jujuy,1,3,PM-1102-127-F/2020,,2025-09-04,Finalizado,NO,Federico Mohr-Juan Pablo Martinez,IF-2025-108140025-APN-DBN%JGM,Se utilizó kobo collect y vuelos de dron como apoyo técnico,NO,SI,
2025,jujuy,1,3,PM-0256-341-F/2014,,2025-09-04,Finalizado,SI,Federico Mohr-Juan Pablo Martinez,IF-2025-108136991-APN-DBN%JGM,Se utilizó kobo collect y vuelos de dron como apoyo técnico,NO,SI,
2025,Tucumán,1,3,TUC_PF2021-01_SET25,,2025-09-11,Finalizado,NO,Silvia Pacheco,IF-2025-108416388-APN-DBN%JGM,Se utilizó kobo collect,SI,SI,
2025,Tucumán,1,3,TUC_PF2021-13_SET25,,2025-09-11,Finalizado,NO,Silvia Pacheco,IF-2025-108418801-APN-DBN%JGM,Se utilizó kobo collect,SI,SI,
2025,Jujuy,1,3,PMyC 1102-559-D/2023,,2025-09-17,Finalizado,NO,Gerardo Pláate,IF-2025-106152206-APN-DBN%JGM,,SI,SI,
2025,Jujuy,1,3,PMyC 1102-597-D/2023,,2025-09-17,Finalizado,NO,Gerardo Pláate,IF-2025-106154590-APN-DBN%JGM,,SI,SI,
2025,Jujuy,1,3,PMyC 1102-558-D/2023,,2025-09-17,Finalizado,NO,Gerardo Pláate,IF-2025-106156375-APN-DBN%JGM,,SI,SI,
2025,Jujuy,1,3,PC-0257-47-C/2014,,2025-09-18,Finalizado,NO,Gerardo Pláate,IF-2025-106158238-APN-DBN%JGM,,SI,SI,
2025,Chaco,2,3,PN2015/053,,2025-09-19,Finalizado,NO,Sergio Torrez Ledesma,IF-2025-108913653-APN-DBN#JGM,,NO,SI,
2025,Chaco,2,3,PN2015/048,,2025-09-19,Finalizado,NO,Sergio Torrez Ledesma,IF-2025-108913369-APN-DBN#JGM,,NO,SI,
2025,Tucumán,1,3,TUC_PF2021-08_SET25,,2025-09-23,Finalizado,NO,Silvia Pacheco,IF-2025-108420832-APN-DBN%JGM,Se utilizó kobo collect,SI,SI,
2025,Chubut,7,3,CU-PC-37-2017-POA-03,,2025-09-26,Finalizado,No,Nadia Griffiths,IF-2025-113608751-APN-DBN%JGM,se utilizó Kobo,NO,SI,
2025,Misiones,4,4,13-PC-02017-2022,,2025-10-08,Finzalizado,NO,Marisol Morales y Lucas Giraudo,IF-2025-132991787-APN-DBN#JGM,,NO,SI,
2025,Misiones,4,4,13-PC-02117-2021,,2025-10-08,Finalizado,NO,Marisol Morales y Lucas Giraudo,IF-2025-132993395-APN-DBN#JGM,,NO,SI,
2025,Tierra del Fuego,8,4,PM-PARQUE INDUSTRIAL-POA1,,2025-10-08,Finalizado,,Ricardo Vukasovic,IF-2025-118356867-APN-DBN%JGM.pdf,,SI,SI,
2025,Córdoba,5,4,0517-026088/PC23,,2025-10-13,Finalizado,No,Ana Contreras y Maria Jose Del Bó,IF-2025-120776830-APN-DBN#JGM,en elaboracion,NO,SI,
2025,Córdoba,5,4,0517-021533/PC19,,2025-10-13,Finalizado,No,Ana Contreras y Maria Jose Del Bó,IF-2025-120778209-APN-DBN#JGM,en elaboracion,SI,SI,
2025,Chubut,7,4,CU-PMyC-21-2022,,2025-10-14,Finalizado,Si,Nadia Grifiths y Lara Haure,IF-2025-117922007-APN-DBN%JGM,,NO,SI,
2025,Córdoba,5,4,0517-016465/PC22,,2025-10-16,Finalizado,No,Ana Contreras y Maria Jose Del Bó,IF-2025-120777747-APN-DBN#JGM,en elaboracion,SI,SI,
2025,Córdoba,5,4,0517-024296/PC21,,2025-10-16,Finalizado,No,Ana Contreras y Maria Jose Del Bó,IF-2025-120777203-APN-DBN#JGM,en elaboracion,SI,SI,
2025,Misiones,4,4,13-PF-PM-219-2021,,2025-10-18,Finalizado,NO,Marisol Morales y Lucas Giraudo,IF-2025-137843153-APN-DBN%JGM,,NO,SI,
2025,Misiones,4,4,13-PF-PM-237-2022,,2025-10-18,Finalizado,NO,Marisol Morales y Lucas Giraudo,IF-2025-137842581-APN-DBN%JGM,,NO,SI,
2025,Santa Cruz,8,4,07-PC-2019,,2025-10-18,Finalizado,,Ricardo Vukasovic,IF-2025-118354710-APN-DBN%JGM,,SI,SI,
2025,Santa Cruz,8,4,03-PF-2019,,2025-10-19,Finalizado,,Ricardo Vukasovic,IF-2025-118353910-APN-DBN%JGM.pdf,,SI,SI,
2025,Córdoba,5,4,0517-020342/PC16,,2025-10-21,Finalizado,No,María José Del Bó,IF-2025-120924615-APN-DBN#JGM,en elaboracion,SI,SI,
2025,Chubut,7,4,CU-PM-76-2017,,2025-10-24,Finalizado,No,Nadia Grifiths y Jessica Arre,IF-2025-136621528-APN-DBN#JGM,"Se recomienda analizar la concordancia entre las actividades planificadas y el contexto territorial, considerando la posible expansión urbana en la zona en el mediano plazo. Dado que se trata de un área Fiscalización Plan – UREF7 potencialmente susceptible a procesos de loteo en la próxima década, las acciones de restauración propuestas podrían verse comprometidas o incluso revertidas, afectando su sostenibilidad a largo plazo.",Si,SI,
2025,Neuquén,7,4,NQN_PC_001_2013 POA 4,,2025-11-04,Finalizado,No,Silvia Castañeda,IF-2025-131460216-APN-DBN#JGM,Readecuación de planes institucioneles,Si,Si,
2025,Neuquén,7,4,NQN_PC_098_2022_POA 1,,2025-11-05,Finalizado,Si,Silvia Castañeda,IF-2025-131464873-APN-DBN#JGM,,Si,Si,
2025,Neuquén,7,4,NQN_PC_027_2018_POA1,,2025-11-05,Finalizado,Si,Silvia Castañeda,IF-2025-131466832-APN-DBN#JGM,,Si,Si,
2025,Río Negro,7,4,PM_2022_LOSTRA_EL_VENTISQUERO,,2025-11-19,Finalizado,Si,Silvia Castañeda,IF-2025-143506362-APN-DBN#JGM,Sin observaciones,Si,SI,
2025,Río Negro,7,4,PM_2022_SOSA_EL_MANGRULLO,,2025-11-19,Finalizado,No,Silvia Castañeda,IF-2025-143356490-APN-DBN#JGM,Sin observaciones,Si,SI,
2025,Salta,1,4,PM-65542/2014-7,,2025-11-20,Finalizado,NO,Federico Mohr-Christian Campos - Marcelo Perez,IF-2025-134792519-APN-DBN#JGM,Se realizó vuelo con dron- se calcularon índices en base a muestreo de aves e IPH,SI,SI,
2025,Salta,1,4,PM-34938/2013-6,,2025-11-20,Finalizado,NO,Federico Mohr - Marcelo Perez,IF-2025-134790510-APN-DBN#JGM,Se  calcularon índices en base a muestreo de aves e IPH,SI,SI,
2025,La Pampa,5,4,13922/22-PM,,2025-11-20,,,Silvio Quarleri,,,NO,NO,
2025,La Pampa,5,4,2620/14-PM,,2025-11-20,,,Silvio Quarleri,,,NO,NO,
2025,Salta,1,4,PM-225856/2012-6,,2025-11-26,Finalizado,NO,Federico Mohr - Marcelo Perez,IF-2025-134791028-APN-DBN#JGM,Se realizó vuelo con dron- se calcularon índices en base a muestreo de aves e IPH,SI,SI,
2025,Salta,1,4,PM-225859/2012-5,,2025-11-26,Finalizado,NO,Federico Mohr - Marcelo Perez,IF-2025-134791479-APN-DBN#JGM,Se  calcularon índices en base a muestreo de aves e IPH,SI,SI,
2025,,2,4,PN 2023/13288,,2025-11-20,Finalizado,NO,Sergio Torrez Ledesma,IF-2025-143803237-APN-DBN#JGM,,NO,SI,
2025,Chaco,2,4,PN 2023/13139,,2025-11-20,Finalizado,NO,Sergio Torrez Ledesma,IF-2025-143846100-APN-DBN#JGM,,NO,SI,
2025,Chaco,2,4,PN2019/002,,2025-11-20,Finalizado,NO,Sergio Torrez Ledesma,IF-2025-143864544-APN-DBN#JGM,,NO,SI,
2025,Santiago del Estero,2,4,EX-2021-01410302- -GDESDE-DB#MPR,,2025-12-15,Finalizado,SI,Walter Cassino- Abel Gómez,IF-2026-01029349-APN-DBN#JGM,,SI,SI,
2025,Santiago del Estero,2,4,EX-2021-01410201- -GDESDE-DB#MPR,,2025-12-15,Finalizado,SI,Walter Cassino- Abel Gómez,IF-2026-01029510-APN-DBN#JGM,,SI,SI,
2025,Santiago del Estero,2,4,EX-2021-01401051-   -GDESDE-DB#MPR,,2025-12-17,Finalizado,NO,Walter Cassino- Abel Gómez,IF-2026-01029139-APN-DBN#JGM,,SI,SI,
2025,,2,4,EX-2021-01406356- -GDESDE-DB#MPR,,2025-12-17,Finalizado,NO,Walter Cassino- Abel Gómez,IF-2026-01029762-APN-DBN#JGM,,SI,SI,
2025,Santiago del Estero,2,4,EX-2021-01431197-   -GDESDE-DB#MPR,,2025-12-18,Finalizado,SI,Walter Cassino- Abel Gómez,IF-2026-01028904-APN-DBN#JGM,,SI,SI,
2026,Santa Fe,3,2,02101-0021092-6,,2026-05-26,Finalizado,SI,Julieta Carbaja- Victoria del Sastre- Mercedes Mierez,IF-2026-54915216-APN-DBN%JGM,,si,sin acceso,Drive de la URE
2026,Santa Fe,3,2,02101-0028742-3,,2026-05-26,Finalizado,si,Julieta Carbajal- Victoria del Sastre- Mercedes Mierez,F-2026-56987530-APN-DBN#JGM,,si,sin acceso,Drive de la URE
2026,Santa Fe,3,2,02101-0034076-6,,2026-05-27,Finalizado,no,Julieta Carbajal- Victoria del Sastre- Mercedes Mierez,IF-2026-56989470-APN-DBN%JGM,,si,sin acceso,Drive de la URE
2026,Santa Fe,3,2,210100351603,,2026-05-27,Finalizado,si,Julieta Carbaja- Victoria del Sastre- Mercedes Mierez,IF-2026-56989688-APN-DBN%JGM,,si,sin acceso,Drive de la URE
2026,Córdoba,5,2,0517-025736/PC21,0517-025736/PC21; 0517-025736/PC22;0517-025736/PC23 y 0517-025736/PC24,2026-05-21,Finalizado,Si,María José del Bo-Ana Marina Contreras,IF-2026-59182226-APN-DBN%JGM,,si,si,
2026,Córdoba,5,2,0517-026711/PC23,0517-026711/PC23  0517-026711/PC24,2026-05-28,Finalizado,No,María José del Bo-Ana Marina Contreras,IF-2026-59182593-APN-DBN%JGM,,si,si,
2026,Tucumán,1,2,2010/05,POA8-2010/05 y POA9-2010/05,2026-06-01,Finalizado,No,"Federico Mohr, Silvia Pacheco",IF-2026-67983526-APN-DBN%JGM,,si,,
2026,Tucumán,1,2,2013/22,POA 5 2013/22 y POA6 2013/22,2026-06-02,Finalizado,Si,"Federico Mohr, Silvia Pacheco",IF-2026-67983723-APN-DBN%JGM,,si,,
2026,Tucumán,1,2,2013/06,POA5-2013/06 y POA6-2013/06,2026-06-02,Finalizado,No,"Federico Mohr, Silvia Pacheco",IF-2026-67983855-APN-DBN%JGM,,si,,
2026,Entre Ríos,3,2,ER_PM_Huck,,2026-05-12,Finalizado,No,Victoria del Sastre,IF-2026-66416035-APN-DBN#JGM,Mejorar la carga en el RNP,,,
2026,Entre Ríos,3,2,ER2022_PF_Soloaga,,2026-05-13,Finalizado,si,Victoria del Sastre,IF-2026-66416171-APN-DBN%JGM,Mejorar la carga en el RNP,,,
2026,Santa Cruz,8,2,04-PM-2022,04-PC-2022,2026-05-07,Finalizado,No,Ricardo Vukasovic,IF-2026-52311205-APN-DBN%JGM,,Si,Si,
2026,Santa Cruz,8,2,05-PC-2021,05-PM-2021,2026-05-07,Finalizado,Si,Ricardo Vukasovic,IF-2026-57406203-APN-DBN%JGM_PREV CONTROL INC_05-PM-POA1,,Si,Si,
2026,Santa Cruz,8,2,06-PM-2021,06-PM-2021,2026-05-06,Finalizado,Si,Ricardo Vukasovic,IF-2026-50456870-APN-DBN%JGM,,Si,Si,
2026,Neuquén,7,1,NQN_PI_099_2022,"NQN_PI_099_2022_POA 1
NQN_PI_099_2022_POA 2_2023",2026-03-19,Finalizado,No,Silvia Castañeda,IF-2026-42007717-APN-DBN#JGM,,,,
2026,Neuquén,7,1,NQN_PI_110_2022,NQN_PI_110_2023_POA 1,2026-03-20,Finalizado,No,Silvia Castañeda,IF-2026-37714980-APN-DBN#JGM,,,,
2026,Tierra del Fuego,8,2,PIC-RAFAELA ISHTON,,2026-04-28,Finalizado,Si,Ricardo Vukasovic,IF-2026-57178341-APN-DBN%JGM_MONIT_POA1,Monitoreo parcial se continuará en primavera,Si,Si,
2026,Santiago del Estero,2,2,EX2023-10395507--GDESDE-DB#MPR,,2026-06-18,Finalizado,No,"Walter Cassino, Abel Gomez",IF-2026-66449745-APN-DBN#JGM,,Si,Si,
2026,Santiago del Estero,2,2,EX2022-04118973--GDESDE-DB#MPR,,2026-06-18,Finalizado,No,"Walter Cassino, Abel Gomez",IF-2026-66449659-APN-DBN#JGM,,Si,Si,
2026,Santiago del Estero,2,2,ID: 1045-20- 2014 POA:EX2022-04110304--GDESDE-DB#MPR,,2026-06-19,Finalizado,No,"Walter Cassino, Abel Gomez",IF-2026-66449839-APN-DBN%JGM,,Si,Si,
2026,San Juan,6,2,1300-308-25-PF,1300-308-25-PF_POA 1_2023,2026-07-13,Finalizado,No,"Magali Taurian, Hidalgo Caballero Mariano Lucio",IF-2026-85434616-APN-CBN%JGM,,Si,,
2026,San Juan,6,2,1300-0404-13-PM,1300-0404-13-PM_POA_10_2023,2026-07-14,Finalizado,SI,"Magali Taurian, Hidalgo Caballero Mariano Lucio",IF-2026-85390243-APN-CBN%JGM,,Si,,
2026,San Juan,6,2,1300-1419-12-PM,1300-1419-12-PM_POA_8_2023,2026-07-14,Finalizado,No,"Magali Taurian, Hidalgo Caballero Mariano Lucio",IF-2026-85388858-APN-CBN%JGM,,Si,,
2026,San Juan,6,2,1300-2359-11-PM,1300-2359-11-PM_POA_3_2023,2026-07-15,Finalizado,No,"Magali Taurian, Hidalgo Caballero Mariano Lucio",IF-2026-85389681-APN-CBN%JGM,,SI,,
